gene,0,1,11,14,15,16,17_21,18,19,20,3,4,9,AII,AII*,Astrocyte,BB,CAI,CAII,DB1,DB2,DB3a,DB3b,DB4a,DB4b,DB5,DB6,FMB,GB,H1,H2,HAC11,HAC12,HAC13,HAC14,HAC15,HAC17,HAC18,HAC19,HAC2,HAC20,HAC21,HAC23,HAC24,HAC26,HAC27,HAC28,HAC29,HAC3,HAC30,HAC32,HAC33,HAC34,HAC35,HAC37,HAC38,HAC39,HAC4,HAC40,HAC41,HAC42,HAC44,HAC45,HAC46,HAC48,HAC49,HAC5,HAC50,HAC51,HAC52,HAC53,HAC54,HAC55,HAC56,HAC57,HAC59,HAC6,HAC60,HAC62,HAC63,HAC64,HAC65,HAC66,HAC68,HAC71,HAC72,HAC74,HAC75,HAC77,HAC78,HAC79,HAC8,HAC80,HAC81,HAC82,HAC84,HAC86,HAC87,HAC88,HAC89,HAC9,HAC90,HAC91,HAC92,HAC93,HAC95,HRGC3,HRGC4,HRGC5,IMB,MG,MG_OFF,MG_ON,ML_Cone,Microglia,OFF-SAC,OFF-SAC*,OFFx,ON-SAC,ON_DSGC,PENK,PG_OFF_1,PG_OFF_2,PG_ON,RB,Rod,SEG,SEG*,S_Cone,VG3,VG3*,VIP,ipRGC_1,ipRGC_2,nNOS
HES4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9701492537313433,0.0,0.0,0.0,0.0,0.0,0.9743452281204622,0.0,0.0,0.9739103659765044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716612981326544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9802297976479601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638036153209743,0.0,0.8495290666373808,0.0,0.0,0.0,0.0,0.8590497276676234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889611381203381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8481653479497824,0.0,0.0,0.8478086670832847,0.0,0.850731619703236,0.0,0.860994501790004,0.0,0.0,0.0,0.8516516876754476,0.0,0.8723890447794501,0.0,0.8450556597602901,0.8459100594271475,0.8432835820895522,0.8466967112982451,0.0,0.8561630595975848,0.0,0.0,0.8855160118928597,0.8552286473672781,0.0,0.8781144352101568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8520428186921931,0.0,0.0,0.9032635670989307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8727654436630989,0.8784839911247367,0.0,0.0,0.0,0.0
CCNL2,0.8875231529349712,0.0,0.8959846078459897,0.8869785866630611,0.8795217462440035,0.0,0.8993121901554848,0.9131008564536252,0.0,0.9072251515601998,0.0,0.9094491996871892,0.0,0.0,0.0,0.0,0.0,0.8731343283582089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8744333008332039,0.0,0.0,0.0,0.0,0.0,0.0,0.8742316427515514,0.0,0.8814955700689288,0.0,0.0,0.0,0.0,0.8786257941331437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8931341793999743,0.0,0.0,0.0,0.0,0.0,0.0,0.9084619844137732,0.0,0.8964892857110323,0.8961224435870327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8801338761600096,0.0
SSU72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.4601090270191876,0.4921372862004522,0.45209958393182326,0.488807434021537,0.47064697030764907,0.46538579641883054,0.44601881059248055,0.4879522185717056,0.46207851794228627,0.46087909189622794,0.4706594454708384,0.5022577892488508,0.47508597462924557,0.22131277731995083,0.3804251547180005,0.0,0.0,0.2515207729232845,0.2786811314412017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19028685875793003,0.20179744220491666,0.20544423274139859,0.0,0.2044769752381453,0.0,0.20492208982581522,0.0,0.22144502490314086,0.20574219502619842,0.0,0.19716528058052063,0.1904155985632939,0.2608480453491211,0.20110479753408858,0.22445335317013868,0.2128924562859891,0.19880997645321177,0.1932309674682902,0.20427068445219923,0.24798088376201802,0.18711853739041,0.2288591510324336,0.2382012810280074,0.19503890000172516,0.24391407085888422,0.2494460397691869,0.25093999060232247,0.22722413602159985,0.2045903575064531,0.20441926860097628,0.0,0.1886995737232379,0.20522970939750101,0.19626851668998377,0.20245538140410807,0.22946166191528092,0.19704400870337416,0.1947577164244296,0.302673172594896,0.23423364580567205,0.22095672363665567,0.21392304817242408,0.23179653598301447,0.23441684601911858,0.19578572307060013,0.214623278201516,0.2035337223935483,0.2571695967396693,0.20308898100212439,0.2402171839529009,0.1933763694407335,0.2293879625512593,0.3822070355735608,0.402849028804409,0.18892174025080097,0.1966552956780391,0.188256735232339,0.27405664903014454,0.25836431223954726,0.26638897764148994,0.509506846541789,0.20082481272185027,0.21558330663994177,0.18949376024417022,0.4961174931099166,0.47279736355169494,0.5025841059969433,0.222084101011504,0.19435844403594288,0.4970078148058991,0.22404080095575818,0.5505006709205571,0.1865671641791045,0.5365916281493742,0.5332855746817233,0.5575894966943941,0.2702755305304456,0.25950757425222826,0.0,0.0,0.0,0.439433335368313,0.45057226472826145,0.0,0.29292134073243214,0.2058762285246778,0.26320144534111023,0.0,0.2080800675634128,0.4545794449635406,0.19466949843648654,0.4322663897009038,0.44714631918650954,0.47159640157400673,0.0,0.6929957533060614,0.0,0.5344193782379378,0.0,0.19049410232857092,0.26860436663698795,0.22868285606156535,0.5102082086143209,0.458998564019132,0.20665647734456988
GABRD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985613616544809,0.0,0.9896288549722131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRKCZ,0.8260117813722411,0.0,0.8571157246383269,0.8358858454583297,0.8687636220633094,0.8760934859069426,0.0,0.8576833183196053,0.8487512224645757,0.8854848471150469,0.0,0.8576584796407329,0.0,0.0,0.0,0.0,0.0,0.7959822287310415,0.8153948521436151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.808175406349239,0.0,0.0,0.0,0.8039942539449948,0.0,0.0,0.0,0.0,0.7910447761194029,0.8065143485567463,0.0,0.8215546385565801,0.0,0.7990163328932293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8360295037725078,0.0,0.0,0.0,0.0,0.0,0.0,0.791354210519079,0.0,0.0,0.0,0.0,0.0,0.0,0.808120261377363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7939491276420764,0.0,0.7968421725194845,0.7939648405829473,0.0,0.8092161906299307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205828021711378,0.0,0.8663577490778112,0.8668538020617926,0.8711377431207629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.859989732503891,0.0,0.0
PLCH2,0.9803606898926976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836826609141791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9823292084594271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP104,0.0,0.8341944021965141,0.0,0.0,0.8782137663506749,0.0,0.0,0.8372695775174382,0.8364885422720838,0.0,0.0,0.8208955223880597,0.8742179292351452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8340013125049535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8906379973710473,0.0,0.0,0.8344171007177723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233745342759944,0.0,0.0,0.8304397067916927,0.8484923465928035,0.8669648788758179,0.0,0.0,0.0,0.8373988399754709,0.0,0.8882897175959686,0.0,0.0,0.0,0.8355491597261002,0.0,0.8275209945529255,0.0,0.0,0.8255137756689271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390686648105507,0.0,0.0,0.8909722909108916,0.0,0.9121445751012262,0.8594230084276911,0.0,0.8263592635517689,0.8366550545194256,0.0,0.0,0.0,0.0,0.0,0.9418242862865106,0.0,0.0,0.0,0.0,0.0,0.0
DFFB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9939892336503783,0.0,0.0,0.0,0.0,0.0,0.0
AJAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818888328858276,0.9786313678791274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821738827584395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9776119402985075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPHP4,0.0,0.0,0.0,0.0,0.9626627862453461,0.9675492644309998,0.0,0.0,0.0,0.9635501917618424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9481320590225618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9477611940298507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954055497450615,0.0,0.0,0.9498338049917079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9599594674003658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNAB2,0.8152481548821748,0.843780821383889,0.8517715588434419,0.8305858916311122,0.8683620677955115,0.8656996737665205,0.8368431721160661,0.8327100027852984,0.8452747922335098,0.811559005014932,0.0,0.8388323788322619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8423132638433086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8126558447951702,0.0,0.0,0.0,0.7910447761194029,0.0,0.0,0.0,0.0,0.0,0.0,0.8295549163177832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018450327773592,0.8203660845756531,0.0,0.0,0.7976855084077635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8147969583966839,0.0,0.8083948141603328,0.0,0.0,0.0,0.8279903935852335,0.0,0.0,0.7923012651614288,0.0,0.0,0.7942922373316181,0.8018228233750186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8254636815234796,0.0,0.8384782413938152,0.867219237249289,0.8315256068955607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8165207402919655,0.0,0.0,0.0
CHD5,0.3164263198624796,0.5803199499400694,0.49240225242145025,0.5205123024200325,0.528857701749944,0.531005612505016,0.42710983308393563,0.473110479205402,0.5191696610913348,0.3715591439560278,0.4644204765113432,0.5071622925018197,0.5146598500102314,0.0,0.0,0.0,0.0,0.3513504573658331,0.37364959716796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22640755861552794,0.21438676786066882,0.39612148235093303,0.28494023164706445,0.3494168933647782,0.35550798586945037,0.3063349287901352,0.4083549237962979,0.29536907886391256,0.0,0.4187739131165974,0.2653904076832444,0.2631335445304415,0.41568318543149463,0.24009548728145771,0.27269965855043327,0.28021556316916624,0.24697452472217046,0.36447163793578075,0.23551667537262191,0.3555924896873645,0.0,0.3286485556346267,0.3223145826538997,0.3540019392967224,0.3119633099926052,0.33802423859710123,0.34099620491711063,0.31274925283531646,0.2856859071041221,0.30888874450726295,0.362270688387885,0.3804920395808433,0.2299734015962971,0.3503029564423348,0.33117083960504673,0.3157544976739741,0.2737391212982918,0.30698016019009833,0.4716735513352636,0.2802000859780098,0.24542112492803317,0.23635239343145,0.2389645176147347,0.42251541098551965,0.35690165188775136,0.3555752964162115,0.28390343242616795,0.29698769592527136,0.2614646754158077,0.2712452131420819,0.3871437053182232,0.22007443611301594,0.21842625514784855,0.208955223880597,0.22034617279892538,0.21537081029877733,0.2479383055843524,0.24157291428366703,0.25689515249053047,0.4012148713887627,0.2221115529537201,0.3182764364712274,0.23484232932773988,0.3256848280999198,0.2358158310847496,0.21063386370886616,0.2564888689944993,0.2242908895905338,0.3492971156070481,0.22605928867610534,0.32594057784151675,0.24687827389631697,0.3400570372147347,0.22852014116386868,0.2322862619784341,0.21407515121929682,0.0,0.21058659010858677,0.0,0.0,0.0,0.0,0.22933522711938886,0.0,0.0,0.2439479494272773,0.2753436907903472,0.0,0.3401428243117546,0.561731019571646,0.3145399809773289,0.2311732012834122,0.35473387276948387,0.5721936612876494,0.0,0.0,0.0,0.21401705848636912,0.0,0.38963744756001145,0.27447007396327916,0.4476439890576832,0.36353712517823744,0.44565974420575954,0.28621773888815694
RPL22,0.0,0.0,0.0,0.0,0.0,0.0,0.9666488722189149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9576562260513874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552238805970149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9612185817156265,0.0,0.9611075017879258,0.0,0.0,0.9624454810548184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9634001099351627,0.0,0.0,0.0,0.0,0.0,0.0
ACOT7,0.8442714908229771,0.8355914794687015,0.8436532416450444,0.843527419353599,0.8693479619809051,0.8501234877465377,0.8434830419163206,0.8413972303048888,0.8587039179766356,0.8486370190755644,0.8463371716328522,0.8409890692625472,0.8418704031118706,0.0,0.0,0.0,0.0,0.8254770996855266,0.825236770199306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208955223880597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8219001284286157,0.0,0.0,0.0,0.0,0.8442562066797,0.8431500263178526,0.0,0.0,0.0,0.0,0.0,0.0,0.8580507160122715,0.0,0.8459233668313098,0.8529355428112086,0.8500196284322596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.845977852593607,0.8404527702438298,0.0
ESPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9932902588773129,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC11,0.9272598068215954,0.0,0.9226571165803653,0.0,0.9170841881588324,0.9029850746268657,0.9177473102932545,0.0,0.9293775260448456,0.9316322874667039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9059627865677449,0.0,0.0,0.9040268339327912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9082231610568602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9283724324916726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9384421755128832,0.9367193971107255,0.9357922050490308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
